1girl,"1girls,sole_female"
on_side,lying_on_side
transparent_background,"transparent_gif,transparent_png"
plaid_skirt,tartan_skirt
mahou_shoujo_madoka_magica,"madoka_magica,puella_magi_madoka_magica"
upper_teeth,
wariza,"w-legs,w-sitting,w_legs,w_sitting"
blue_bow,
mouth_hold,
traditional_media,handdrawn
beach,
chair,chairs
parody,
wavy_hair,
facial_mark,"facial_marking,facial_markings,facial_marks"
bandages,bandage
looking_away,"averted_eyes,averting_eyes"
female_pubic_hair,pubic_hair_(female)
black_choker,
hair_tubes,hair_tube
blush_stickers,blush_sticker
shirt_lift,"lift_shirt,shirt_up,shirtlift,tank_top_lift,top_lift"
expressionless,"emotionless,neutral_expression,unexpressive"
drill_hair,"doriru,drillhair"
chinese_clothes,
brown_footwear,"brown_boots,brown_shoes"
grabbing,grab
obi,
arms_behind_back,"arms_behind,hands_behind_back"
eating,
holding_sword,holding_katana
thick_thighs,"big_thighs,fat_thighs,thighthick,thunder_thighs"
no_shoes,
clothes_pull,
heart-shaped_pupils,heart_shaped_pupils
pantyshot,"panchira,panty_flash,panty_shot"
topless,"top_less,topless_(female)"
thigh_gap,
soles,sole
short_dress,"mini_dress,minidress"
looking_down,
phone,telephone
symbol-only_commentary,"emoji_commentary,symbol_commentary"
fire_emblem,fireemblem
skirt_lift,"lift_skirt,lifted_skirt,lifting_skirt,skirt_up,skirt_up,skirtlift"
eyepatch,eye_patch
magical_girl,"magic_girl,magical_girls,mahou_shoujo"
stuffed_toy,"plush,plush_toy,stuffed_doll"
floral_print,"floral_pattern,flower_print"
bound,
black_shorts,
flying_sweatdrops,flying_sweatdrop
wavy_mouth,
crossed_arms,"arms_crossed,arms_folded,folded_arms"
hair_intakes,hair_vents
playboy_bunny,"bunny_suit,bunnygirl,bunnysuit,playboy_bunny_leotard"
girls_und_panzer,
piercing,"pierced,piercings"
border,"bordered,windowbox,windowboxed"
formal,
moon,
love_live!,
abs,six_pack
leg_up,one_leg_raised
black_pants,
half-closed_eyes,eyes_half_closed
sandals,sandal
from_below,"low_angle,view_from_below,viewed_from_below"
erection,erect_penis
cover,front_cover
cleavage_cutout,"boob_window,cleavage_window,heart_cleavage_cutout,tit_window"
sunlight,sunshine
table,
single_hair_bun,"bun,hair_bun,hairbun"
happy,
oral,
red_dress,
cat,"cats,neko"
squatting,"crouch,crouched,crouching,squat"
pink_background,
underwear_only,
scrunchie,scrunchy
sunglasses,shades
chinese_commentary,
testicles,balls
school_swimsuit,"school_swimsuits,sukimizu,sukumizu"
halo,
cum_on_body,"cum_in_armpit,cum_on_arm,cum_on_armpit,cum_on_armpits,cum_on_arms,cum_on_back,cum_on_belly,cum_on_chest,cum_on_ear,cum_on_feet,cum_on_foot,cum_on_hand,cum_on_hands,cum_on_hips,cum_on_leg,cum_on_legs,cum_on_lower_body,cum_on_thigh,cum_on_thighs,cum_on_upper_body,semen_on_body,semen_on_lower_body,semen_on_upper_body"
bdsm,
dark-skinned_male,dark_skinned_male
white_footwear,"white_boots,white_shoes"
trembling,"shiver,shivering,tremble"
mob_cap,
blazer,
ring,rings
wolf_ears,"coyote_ears,ookamimimi"
sleeping,"asleep,sleep"
game_cg,"cg_game,game_asset,gamecg"
final_fantasy,finalfantasy
standing_on_one_leg,"on_one_foot,on_one_leg,standing_on_one_foot"
backpack,"back_pack,ranset"
light_brown_hair,lightbrown_hair
eyes_visible_through_hair,eye_through_hair
knee_boots,"kneeboots,kneehigh_boots"
bob_cut,"bobbed_hair,okappa"
lingerie,
breast_grab,"boob_grab,breast_grap,breasts_grab,grabbing_breasts"
hat_ribbon,"hat_ribbons,hatband"
thick_eyebrows,
partial_commentary,
katana,katanas
demon_girl,"demon_girls,demongirl,succubus"
stuffed_animal,"nuigurumi,plushie,plushies,plushy,stuffed_animals"
bat_wings,batwing
cardigan,
white_skirt,
girls'_frontline,girls_frontline
frilled_dress,"frilly_dress,ruffled_dress"
;d,
korean_commentary,
crossed_legs,"crossed_legs_(lying),crossed_legs_(sitting),crossed_legs_(standing),legs_crossed"
white_jacket,
suspenders,suspender
3boys,3boy
helmet,
remilia_scarlet,
hood_down,
cloudy_sky,
antenna_hair,"antennae_hair,double_ahoge"
outstretched_arms,arms_outstretched
cellphone,"cell_phone,keitai,mobile_phone"
crying,cry
tank_top,tanktop
cross,
polka_dot,"polka-dot,polka_dots"
bottle,bottles
grass,
aged_down,"de-aged,younger"
bug,"bugs,insect,insects"
fire,flames
